"ind","PH","FT","Sub-population"
"Hv-2011S-3-00382",57.0315921719368,75.5791670479632,"HvDRR04"
"Hv-2011S-3-00384",61.8394352648015,60.0408881414212,"HvDRR04"
"Hv-2011S-3-00385",62.7999999456577,74.9611529223222,"HvDRR04"
"Hv-2011S-3-00386",55.3999999456577,73.8512286654829,"HvDRR04"
"Hv-2011S-3-00387",70.9817300785649,68.3906722326949,"HvDRR04"
"Hv-2011S-3-00388",46.2790303992237,68.5139865513332,"HvDRR04"
"Hv-2011S-3-00390",61.5999999456577,71.0154566760925,"HvDRR04"
"Hv-2011S-3-00391",60.7999999456578,79.0154566760925,"HvDRR04"
"Hv-2011S-3-00392",66.3999999456577,78.2202629680211,"HvDRR04"
"Hv-2011S-3-00393",58.7999999456577,69.5716024972586,"HvDRR04"
"Hv-2011S-3-00394",61.6441804854669,70.3318540251398,"HvDRR04"
"Hv-2011S-3-00395",53.0315921719369,77.3291670479632,"HvDRR04"
"Hv-2011S-3-00396",59.7815921719368,72.5838535593239,"HvDRR04"
"Hv-2011S-3-00397",65.1999999456577,76.9977461776357,"HvDRR04"
"Hv-2011S-3-00398",60.3999999456577,72.8154566760925,"HvDRR04"
"Hv-2011S-3-00399",56.8941804854669,63.5222669706498,"HvDRR04"
"Hv-2011S-3-00400",58.8199608497787,77.8665430150648,"HvDRR04"
"Hv-2011S-3-00401",59.7901411158718,71.3733983249551,"HvDRR04"
"Hv-2011S-3-00402",68.9817300785649,64.3906722326949,"HvDRR04"
"Hv-2011S-3-00404",62.5999999456577,63.9595342254904,"HvDRR02"
"Hv-2011S-3-00405",57.1240248923283,80.7404563239687,"HvDRR04"
"Hv-2011S-3-00406",62.3941804854668,66.0818540251398,"HvDRR04"
"Hv-2011S-3-00407",51.9817300785648,64.390672232695,"HvDRR04"
"Hv-2011S-3-00409",48.8069779064303,68.0836462641606,"HvDRR04"
"Hv-2011S-3-00410",64.5999999456577,70.0154566760925,"HvDRR04"
"Hv-2011S-3-00411",63.7815921719368,71.4077137850826,"HvDRR04"
"Hv-2011S-3-00412",66.1999999456577,67.2972617007011,"HvDRR04"
"Hv-2011S-3-00413",58.5999999456577,61.2695942591272,"HvDRR04"
"Hv-2011S-3-00415",64.3999999456577,69.5102876533405,"HvDRR04"
"Hv-2011S-3-00416",59.2189937089901,64.2763418313028,"HvDRR04"
"Hv-2011S-3-00417",64.6123637325571,78.5139865513332,"HvDRR04"
"Hv-2011S-3-00418",59.7999999456577,72.192661894875,"HvDRR04"
"Hv-2011S-3-00419",67.1999999456578,77.6602998579843,"HvDRR04"
"Hv-2011S-3-00420",61.1289126478502,77.8885289558338,"HvDRR04"
"Hv-2011S-3-00421",66.7999999456577,69.1711615888483,"HvDRR04"
"Hv-2011S-3-00422",63.0315921719368,67.3294529155174,"HvDRR04"
"Hv-2011S-3-00423",66.7121146972547,65.7177782214381,"HvDRR04"
"Hv-2011S-3-00424",65.7815921719367,62.5791670479632,"HvDRR04"
"Hv-2011S-3-00425",65.5315921719368,69.156119582184,"HvDRR04"
"Hv-2011S-3-00426",65.1999999456577,78.4154566760925,"HvDRR04"
